Distribuição dos casos notificados e confirmados (autóctones e importados ) de dengue segundo município de residência, por mês de início de sintomas,ESP, 2025;;;;;;;;;;;;;;;;;;;
;;;;;;;Janeiro ;;;Fevereiro;;;Março;;;total;;;
DRS;DRS NOME;GVE;GVE NOME;COD_RS_2024;NOME_RS_2024;MUN-RES;notificados ;confirmados;;notificados ;confirmados;;notificados ;confirmados;;notificados ;confirmados;;
;;;;;;;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;
;;;;;;;;;;;;;;;;;;;
13;RIBEIRÃO PRETO;24;RIBEIRAO PRETO;35132;AQUÍFERO GUARANI;354750 Santa Rita do Passa Quatro;818;802;1;445;436;0;411;405;0;1.674;1.643;1;
13;RIBEIRÃO PRETO;24;RIBEIRAO PRETO;35132;AQUÍFERO GUARANI;354760 Santa Rosa de Viterbo;808;408;0;505;356;1;239;138;0;1.552;902;1;
15;SÃO JOSÉ DO RIO PRETO;30;JALES;35153;JALES;354765 Santa Salete;195;59;37;61;20;5;20;3;3;276;82;45;
11;PRESIDENTE PRUDENTE;21;PRESIDENTE PRUDENTE;35112;ALTA SOROCABANA;354770 Santo Anastácio;113;8;1;87;16;1;45;30;0;245;54;2;
1;GRANDE SÃO PAULO;7;SANTO ANDRE;35015;GRANDE ABC;354780 Santo André;206;70;45;436;209;27;1.254;687;39;1.896;966;111;
13;RIBEIRÃO PRETO;24;RIBEIRAO PRETO;35133;VALE DAS CACHOEIRAS;354790 Santo Antônio da Alegria;16;12;0;71;64;0;120;106;0;207;182;0;
7;CAMPINAS;17;CAMPINAS;35072;REG METRO CAMPINAS;354800 Santo Antônio de Posse;259;180;1;709;462;0;1.102;527;2;2.070;1.169;3;
2;ARAÇATUBA;11;ARACATUBA;35021;CENTRAL DO DRS II;354805 Santo Antônio do Aracanguá;151;74;0;43;15;0;20;8;0;214;97;0;
14;SÃO JOÃO DA BOA VISTA;26;SAO JOAO DA BOA VISTA;35142;MANTIQUEIRA;354810 Santo Antônio do Jardim;10;2;0;13;7;0;42;31;0;65;40;0;
17;TAUBATÉ;33;TAUBATE;35174;V. PARAÍBA-REG. SERRANA;354820 Santo Antônio do Pinhal;4;0;0;7;0;0;17;2;0;28;2;0;
11;PRESIDENTE PRUDENTE;21;PRESIDENTE PRUDENTE;35112;ALTA SOROCABANA;354830 Santo Expedito;166;103;3;21;6;0;21;11;0;208;120;3;
2;ARAÇATUBA;11;ARACATUBA;35023;CONSÓRCIOS DO DRS II;354840 Santópolis do Aguapeí;36;21;0;42;22;0;69;46;0;147;89;0;
4;BAIXADA SANTISTA;25;SANTOS;35041;BAIXADA SANTISTA;354850 Santos;182;79;0;356;178;0;754;483;0;1.292;740;0;
17;TAUBATÉ;33;TAUBATE;35174;V. PARAÍBA-REG. SERRANA;354860 São Bento do Sapucaí;1;0;0;3;0;0;4;0;2;8;0;2;
1;GRANDE SÃO PAULO;7;SANTO ANDRE;35015;GRANDE ABC;354870 São Bernardo do Campo;578;58;56;1.277;207;19;1.562;399;14;3.417;664;89;
1;GRANDE SÃO PAULO;7;SANTO ANDRE;35015;GRANDE ABC;354880 São Caetano do Sul;88;7;18;277;94;11;549;221;46;914;322;75;
3;ARARAQUARA;12;ARARAQUARA;35032;CORAÇÃO DO DRS III;354890 São Carlos;1.306;630;16;3.325;2.236;17;7.847;5.743;65;12.478;8.609;98;
15;SÃO JOSÉ DO RIO PRETO;30;JALES;35153;JALES;354900 São Francisco;78;17;2;58;12;0;28;2;0;164;31;2;
14;SÃO JOÃO DA BOA VISTA;26;SAO JOAO DA BOA VISTA;35142;MANTIQUEIRA;354910 São João da Boa Vista;427;171;6;1.062;448;1;1.055;734;3;2.544;1.353;10;
15;SÃO JOSÉ DO RIO PRETO;30;JALES;35154;FERNANDÓPOLIS;354920 São João das Duas Pontes;23;19;1;32;26;3;13;9;0;68;54;4;
15;SÃO JOSÉ DO RIO PRETO;30;JALES;35154;FERNANDÓPOLIS;354925 São João de Iracema;36;11;0;17;9;0;29;14;0;82;34;0;
11;PRESIDENTE PRUDENTE;22;PRESIDENTE VENCESLAU;35111;ALTA PAULISTA;354930 São João do Pau d'Alho;9;1;0;8;0;0;10;0;0;27;1;0;
8;FRANCA;18;FRANCA;35082;ALTA ANHANGUERA;354940 São Joaquim da Barra;179;8;1;292;26;0;211;57;1;682;91;2;
8;FRANCA;18;FRANCA;35081;TRÊS COLINAS;354950 São José da Bela Vista;20;2;0;6;2;0;6;1;0;32;5;0;
17;TAUBATÉ;33;TAUBATE;35172;CIRCUITO DA FÉ - VALE HISTÓRICO;354960 São José do Barreiro;1;0;0;1;0;0;11;0;1;13;0;1;
14;SÃO JOÃO DA BOA VISTA;26;SAO JOAO DA BOA VISTA;35143;RIO PARDO;354970 São José do Rio Pardo;75;40;0;216;159;1;151;116;0;442;315;1;
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35155;SÃO JOSÉ DO RIO PRETO;354980 São José do Rio Preto;23.501;19.832;13;16.441;13.161;5;9.950;6.147;1;49.892;39.140;19;
17;TAUBATÉ;27;SAO JOSE DOS CAMPOS;35171;ALTO VALE DO PARAÍBA;354990 São José dos Campos;3.214;325;0;5.426;551;2;6.641;1.163;1;15.281;2.039;3;
1;GRANDE SÃO PAULO;10;OSASCO;35013;MANANCIAIS;354995 São Lourenço da Serra;1;0;0;8;2;0;15;5;0;24;7;0;
17;TAUBATÉ;33;TAUBATE;35174;V. PARAÍBA-REG. SERRANA;355000 São Luiz do Paraitinga;16;1;0;8;1;0;27;0;0;51;2;0;
6;BAURU;16;BOTUCATU;35063;POLO CUESTA;355010 São Manuel;63;7;4;158;36;4;289;155;11;510;198;19;
16;SOROCABA;31;SOROCABA;35161;ITAPETININGA;355020 São Miguel Arcanjo;17;2;0;79;8;1;126;10;1;222;20;2;
1;GRANDE SÃO PAULO;1;CAPITAL;35016;SÃO PAULO;355030 São Paulo;20.567;3.226;30;44.066;6.288;41;65.519;16.613;50;130.152;26.127;121;
10;PIRACICABA;20;PIRACICABA;35103;PIRACICABA;355040 São Pedro;987;525;1;1.404;664;4;647;441;15;3.038;1.630;20;
9;MARÍLIA;13;ASSIS;35094;OURINHOS;355050 São Pedro do Turvo;47;19;0;81;33;1;313;81;1;441;133;2;
16;SOROCABA;31;SOROCABA;35163;SOROCABA;355060 São Roque;114;8;2;364;80;1;1.635;260;3;2.113;348;6;
17;TAUBATÉ;28;CARAGUATATUBA;35173;LITORAL NORTE;355070 São Sebastião;469;57;0;908;167;0;1.092;297;1;2.469;521;1;
14;SÃO JOÃO DA BOA VISTA;26;SAO JOAO DA BOA VISTA;35143;RIO PARDO;355080 São Sebastião da Grama;20;4;0;40;5;0;105;43;0;165;52;0;
13;RIBEIRÃO PRETO;24;RIBEIRAO PRETO;35132;AQUÍFERO GUARANI;355090 São Simão;56;17;0;207;56;0;73;30;0;336;103;0;
4;BAIXADA SANTISTA;25;SANTOS;35041;BAIXADA SANTISTA;355100 São Vicente;172;100;0;285;162;1;450;257;1;907;519;2;
16;SOROCABA;31;SOROCABA;35161;ITAPETININGA;355110 Sarapuí;4;2;0;26;7;0;62;5;2;92;14;2;
6;BAURU;16;BOTUCATU;35061;VALE DO JURUMIRIM;355120 Sarutaiá;1;0;0;35;10;0;135;60;4;171;70;4;
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35157;VOTUPORANGA;355130 Sebastianópolis do Sul;37;16;0;76;17;0;97;30;0;210;63;0;
13;RIBEIRÃO PRETO;24;RIBEIRAO PRETO;35132;AQUÍFERO GUARANI;355140 Serra Azul;84;11;0;106;23;0;199;62;2;389;96;2;
13;RIBEIRÃO PRETO;24;RIBEIRAO PRETO;35132;AQUÍFERO GUARANI;355150 Serrana;179;71;1;393;245;2;482;170;1;1.054;486;4;
7;CAMPINAS;17;CAMPINAS;35074;CIRCUITO DAS AGUAS;355160 Serra Negra;58;5;10;196;27;15;282;43;21;536;75;46;
13;RIBEIRÃO PRETO;24;RIBEIRAO PRETO;35131;HORIZONTE VERDE;355170 Sertãozinho;5.010;2.081;25;3.910;3.506;59;1.897;1.709;8;10.817;7.296;92;
12;REGISTRO;23;REGISTRO;35121;VALE DO RIBEIRA;355180 Sete Barras;19;2;0;44;4;0;113;3;0;176;9;0;
5;BARRETOS;14;BARRETOS;35051;NORTE-BARRETOS;355190 Severínia;88;31;2;105;52;1;69;27;2;262;110;5;
17;TAUBATÉ;33;TAUBATE;35172;CIRCUITO DA FÉ - VALE HISTÓRICO;355200 Silveiras;0;0;0;4;3;0;5;0;0;9;3;0;
7;CAMPINAS;17;CAMPINAS;35071;BRAGANÇA;355210 Socorro;52;2;3;87;7;4;122;14;2;261;23;9;
16;SOROCABA;31;SOROCABA;35163;SOROCABA;355220 Sorocaba;2.093;491;27;5.967;1.429;5;11.500;4.243;7;19.560;6.163;39;
2;ARAÇATUBA;11;ARACATUBA;35022;LAGOS DO DRS II;355230 Sud Mennucci;464;144;2;422;151;12;321;116;7;1.207;411;21;
7;CAMPINAS;17;CAMPINAS;35072;REG METRO CAMPINAS;355240 Sumaré;632;274;3;2.058;855;6;2.438;1.556;16;5.128;2.685;25;
1;GRANDE SÃO PAULO;8;MOGI DAS CRUZES;35011;ALTO DO TIETÊ;355250 Suzano;199;20;1;348;40;2;292;54;3;839;114;6;
2;ARAÇATUBA;11;ARACATUBA;35022;LAGOS DO DRS II;355255 Suzanápolis;119;73;1;75;74;1;28;21;0;222;168;2;
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35151;CATANDUVA;355260 Tabapuã;136;51;0;124;55;0;180;90;0;440;196;0;
3;ARARAQUARA;12;ARARAQUARA;35033;NOROESTE DRS III;355270 Tabatinga;111;54;0;255;88;3;256;39;0;622;181;3;
1;GRANDE SÃO PAULO;10;OSASCO;35013;MANANCIAIS;355280 Taboão da Serra;200;35;1;469;45;0;1.128;206;0;1.797;286;1;
11;PRESIDENTE PRUDENTE;21;PRESIDENTE PRUDENTE;35112;ALTA SOROCABANA;355290 Taciba;41;8;1;106;22;0;250;90;0;397;120;1;
6;BAURU;16;BOTUCATU;35061;VALE DO JURUMIRIM;355300 Taguaí;83;20;6;200;65;6;229;112;0;512;197;12;
5;BARRETOS;14;BARRETOS;35052;SUL-BARRETOS;355310 Taiaçu;23;9;0;37;12;0;67;30;0;127;51;0;
5;BARRETOS;14;BARRETOS;35052;SUL-BARRETOS;355320 Taiúva;38;17;0;30;4;0;38;11;0;106;32;0;
14;SÃO JOÃO DA BOA VISTA;26;SAO JOAO DA BOA VISTA;35142;MANTIQUEIRA;355330 Tambaú;91;17;0;212;57;2;437;162;0;740;236;2;
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35155;SÃO JOSÉ DO RIO PRETO;355340 Tanabi;1.151;492;4;544;119;0;267;55;0;1.962;666;4;
16;SOROCABA;31;SOROCABA;35163;SOROCABA;355350 Tapiraí;1;1;0;10;1;2;47;1;0;58;3;2;
14;SÃO JOÃO DA BOA VISTA;26;SAO JOAO DA BOA VISTA;35143;RIO PARDO;355360 Tapiratiba;15;2;0;48;19;1;94;56;2;157;77;3;
5;BARRETOS;14;BARRETOS;35052;SUL-BARRETOS;355365 Taquaral;11;0;0;9;1;0;9;1;0;29;2;0;
3;ARARAQUARA;12;ARARAQUARA;35033;NOROESTE DRS III;355370 Taquaritinga;720;354;2;1.091;765;2;1.046;824;4;2.857;1.943;8;
6;BAURU;16;BOTUCATU;35061;VALE DO JURUMIRIM;355380 Taquarituba;4;0;0;47;2;2;49;9;3;100;11;5;
16;SOROCABA;32;ITAPEVA;35162;ITAPEVA;355385 Taquarivaí;6;0;0;13;0;2;57;5;0;76;5;2;
11;PRESIDENTE PRUDENTE;21;PRESIDENTE PRUDENTE;35112;ALTA SOROCABANA;355390 Tarabaí;33;4;4;156;64;22;182;44;10;371;112;36;
9;MARÍLIA;13;ASSIS;35092;ASSIS;355395 Tarumã;150;143;1;553;436;5;1.260;765;1;1.963;1.344;7;
16;SOROCABA;31;SOROCABA;35161;ITAPETININGA;355400 Tatuí;999;220;4;2.638;825;8;3.815;1.411;7;7.452;2.456;19;
17;TAUBATÉ;33;TAUBATE;35174;V. PARAÍBA-REG. SERRANA;355410 Taubaté;663;43;1;1.129;107;1;2.351;471;2;4.143;621;4;
6;BAURU;16;BOTUCATU;35061;VALE DO JURUMIRIM;355420 Tejupá;0;0;0;8;1;1;24;3;0;32;4;1;
11;PRESIDENTE PRUDENTE;22;PRESIDENTE VENCESLAU;35115;PONTAL DO PARANAPANEMA;355430 Teodoro Sampaio;123;19;1;331;89;3;593;222;28;1.047;330;32;
5;BARRETOS;14;BARRETOS;35052;SUL-BARRETOS;355440 Terra Roxa;2;2;0;50;13;0;63;35;3;115;50;3;
16;SOROCABA;31;SOROCABA;35163;SOROCABA;355450 Tietê;98;13;7;118;20;3;284;81;15;500;114;25;
9;MARÍLIA;13;ASSIS;35094;OURINHOS;355460 Timburi;2;0;0;2;2;0;3;1;1;7;3;1;
6;BAURU;16;BOTUCATU;35063;POLO CUESTA;355465 Torre de Pedra;6;1;0;5;3;0;15;5;0;26;9;0;
6;BAURU;15;BAURU;35064;JAU;355470 Torrinha;4;1;3;9;1;3;41;30;3;54;32;9;
3;ARARAQUARA;12;ARARAQUARA;35031;CENTRAL DO DRS III;355475 Trabiju;3;0;0;51;3;0;27;5;0;81;8;0;
17;TAUBATÉ;33;TAUBATE;35174;V. PARAÍBA-REG. SERRANA;355480 Tremembé;121;0;2;164;8;2;270;25;1;555;33;5;
15;SÃO JOSÉ DO RIO PRETO;30;JALES;35152;SANTA FÉ DO SUL;355490 Três Fronteiras;120;79;1;38;34;0;9;1;0;167;114;1;
7;CAMPINAS;17;CAMPINAS;35071;BRAGANÇA;355495 Tuiuti;10;2;0;18;2;0;37;7;0;65;11;0;
9;MARÍLIA;19;MARILIA;35095;TUPÃ;355500 Tupã;2.869;438;30;2.083;365;11;1.146;209;13;6.098;1.012;54;
11;PRESIDENTE PRUDENTE;22;PRESIDENTE VENCESLAU;35111;ALTA PAULISTA;355510 Tupi Paulista;40;11;3;39;7;1;22;4;0;101;22;4;
2;ARAÇATUBA;11;ARACATUBA;35023;CONSÓRCIOS DO DRS II;355520 Turiúba;18;17;0;50;41;0;29;27;0;97;85;0;
15;SÃO JOSÉ DO RIO PRETO;30;JALES;35154;FERNANDÓPOLIS;355530 Turmalina;91;86;1;29;25;2;36;32;3;156;143;6;
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35156;JOSÉ BONIFÁCIO;355535 Ubarana;515;262;3;176;127;1;117;87;0;808;476;4;
17;TAUBATÉ;28;CARAGUATATUBA;35173;LITORAL NORTE;355540 Ubatuba;523;30;0;645;90;0;873;121;0;2.041;241;0;
9;MARÍLIA;19;MARILIA;35093;MARÍLIA;355550 Ubirajara;1;0;0;4;0;0;48;29;0;53;29;0;
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35155;SÃO JOSÉ DO RIO PRETO;355560 Uchoa;382;147;0;300;149;3;272;130;0;954;426;3;
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35156;JOSÉ BONIFÁCIO;355570 União Paulista;31;3;6;26;2;2;6;0;1;63;5;9;
15;SÃO JOSÉ DO RIO PRETO;30;JALES;35153;JALES;355580 Urânia;474;452;3;141;131;0;57;51;0;672;634;3;
6;BAURU;15;BAURU;35065;LINS;355590 Uru;0;0;0;3;0;2;12;8;1;15;8;3;
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35151;CATANDUVA;355600 Urupês;468;144;2;288;105;0;238;82;1;994;331;3;
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35157;VOTUPORANGA;355610 Valentim Gentil;411;215;0;337;180;0;175;93;0;923;488;0;
7;CAMPINAS;17;CAMPINAS;35072;REG METRO CAMPINAS;355620 Valinhos;422;77;5;693;186;7;1.531;568;9;2.646;831;21;
2;ARAÇATUBA;11;ARACATUBA;35021;CENTRAL DO DRS II;355630 Valparaíso;655;431;4;897;480;1;715;358;2;2.267;1.269;7;
7;CAMPINAS;17;CAMPINAS;35071;BRAGANÇA;355635 Vargem;6;1;0;21;2;0;15;2;1;42;5;1;
14;SÃO JOÃO DA BOA VISTA;26;SAO JOAO DA BOA VISTA;35142;MANTIQUEIRA;355640 Vargem Grande do Sul;71;7;2;155;34;0;230;51;0;456;92;2;
1;GRANDE SÃO PAULO;10;OSASCO;35013;MANANCIAIS;355645 Vargem Grande Paulista;98;4;1;60;7;1;75;10;1;233;21;3;
7;CAMPINAS;17;CAMPINAS;35073;JUNDIAÍ;355650 Várzea Paulista;76;35;0;217;124;2;886;421;15;1.179;580;17;
9;MARÍLIA;19;MARILIA;35093;MARÍLIA;355660 Vera Cruz;196;124;1;350;149;3;367;149;3;913;422;7;
7;CAMPINAS;17;CAMPINAS;35072;REG METRO CAMPINAS;355670 Vinhedo;333;39;18;710;242;8;1.740;1.582;5;2.783;1.863;31;
5;BARRETOS;14;BARRETOS;35052;SUL-BARRETOS;355680 Viradouro;46;5;0;77;13;0;60;14;0;183;32;0;
5;BARRETOS;14;BARRETOS;35052;SUL-BARRETOS;355690 Vista Alegre do Alto;63;17;3;60;21;0;48;13;3;171;51;6;
15;SÃO JOSÉ DO RIO PRETO;30;JALES;35153;JALES;355695 Vitória Brasil;48;22;2;50;32;0;34;28;0;132;82;2;
16;SOROCABA;31;SOROCABA;35163;SOROCABA;355700 Votorantim;224;6;3;423;29;0;914;107;2;1.561;142;5;
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35157;VOTUPORANGA;355710 Votuporanga;3.003;1.790;3;2.592;1.075;0;1.718;333;0;7.313;3.198;3;
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35156;JOSÉ BONIFÁCIO;355715 Zacarias;103;72;0;164;89;0;70;44;0;337;205;0;
9;MARÍLIA;13;ASSIS;35094;OURINHOS;355720 Chavantes;214;182;0;496;460;0;496;416;0;1.206;1.058;0;
14;SÃO JOÃO DA BOA VISTA;26;SAO JOAO DA BOA VISTA;35141;BAIXA MOGIANA;355730 Estiva Gerbi;581;301;1;734;375;3;394;122;1;1.709;798;5;
;;;;;;Total do Estado ;227.071;114.848;2.226;317.418;145.302;2.630;394.872;171.719;2.093;939.361;431.869;6.949;
;;;;;;;;;;;;;;;;;;;
Dados informados pelas Secretarias Municipais de Saúde no Sistema de Informação - SINAN , 15.04.2025;;;;;;;;;;;;;;;;;;;
