Distribuição dos casos notificados e confirmados (autóctones e importados ) de dengue segundo município de residência, por mês de início de sintomas,ESP, 2025;;;;;;;;;;;;;;;;;;;
;;;;;;;Janeiro ;;;Fevereiro;;;Março;;;total;;;
DRS;DRS NOME;GVE;GVE NOME;COD_RS_2024;NOME_RS_2024;MUN-RES;notificados ;confirmados;;notificados ;confirmados;;notificados ;confirmados;;notificados ;confirmados;;
;;;;;;;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;
;;;;;;;;;;;;;;;;;;;
9;MARÍLIA;13;ASSIS;35092;ASSIS;351330 Cruzália;3;1;0;26;15;3;53;37;0;82;53;3;
17;TAUBATÉ;33;TAUBATE;35172;CIRCUITO DA FÉ - VALE HISTÓRICO;351340 Cruzeiro;69;3;0;88;3;0;129;18;0;286;24;0;
4;BAIXADA SANTISTA;25;SANTOS;35041;BAIXADA SANTISTA;351350 Cubatão;57;2;0;89;5;0;100;31;0;246;38;0;
17;TAUBATÉ;33;TAUBATE;35172;CIRCUITO DA FÉ - VALE HISTÓRICO;351360 Cunha;31;4;0;45;3;0;30;0;1;106;7;1;
3;ARARAQUARA;12;ARARAQUARA;35032;CORAÇÃO DO DRS III;351370 Descalvado;618;458;0;1.264;1.093;3;1.068;922;2;2.950;2.473;5;
1;GRANDE SÃO PAULO;7;SANTO ANDRE;35015;GRANDE ABC;351380 Diadema;253;154;9;718;349;14;1.467;595;27;2.438;1.098;50;
15;SÃO JOSÉ DO RIO PRETO;30;JALES;35153;JALES;351385 Dirce Reis;37;27;0;14;8;0;16;5;0;67;40;0;
14;SÃO JOÃO DA BOA VISTA;26;SAO JOAO DA BOA VISTA;35143;RIO PARDO;351390 Divinolândia;4;2;1;23;3;0;41;19;0;68;24;1;
3;ARARAQUARA;12;ARARAQUARA;35033;NOROESTE DRS III;351400 Dobrada;192;120;0;260;153;3;143;60;1;595;333;4;
6;BAURU;15;BAURU;35064;JAU;351410 Dois Córregos;28;0;3;77;5;1;66;14;1;171;19;5;
