DRS;DRS_1;GVE;_1;Região de Saúde;Região de Saúde_2;município;Janeiro;Janeiro_4;Janeiro_5;Fevereiro;Fevereiro_6;Fevereiro_7;Março;Março_8;Março_9;Abril;Abril_10;Abril_11;Maio;Maio_12;Maio_13;Junho;Junho_14;Junho_15;Julho;Julho_16;Julho_17;Agosto;Agosto_18;Agosto_19;Setembro;Setembro_20;Setembro_21;Outubro;Outubro_22;Outubro_23;Novembro;Novembro_24;Novembro_25;Dezembro;Dezembro_26;Dezembro_27
;;;;;;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;
;;;;;;;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35151;CATANDUVA;350370 Ariranha;123;80;1;350;220;1;512;338;1;359;195;1;224;160;0;61;30;0;50;23;0;16;5;1;21;2;2;8;3;2;14;2;0;24;4;0
7;CAMPINAS;17;CAMPINAS;35072;REG METRO CAMPINAS;350380 Artur Nogueira;88;41;1;315;142;1;661;302;7;964;551;18;715;426;10;267;92;1;56;18;0;34;6;0;33;2;1;39;9;0;29;6;0;33;11;0
1;GRANDE SÃO PAULO;8;MOGI DAS CRUZES;35011;ALTO DO TIETÊ;350390 Arujá;91;20;2;505;158;0;828;413;2;1257;736;1;978;554;2;273;136;0;49;18;0;14;4;0;10;4;0;15;2;0;14;5;0;9;2;0
15;SÃO JOSÉ DO RIO PRETO;30;JALES;35153;JALES;350395 Aspásia;13;1;0;15;0;1;17;1;2;16;1;0;4;1;1;10;3;0;6;2;0;3;1;0;5;0;0;3;2;0;13;10;0;151;90;0
9;MARÍLIA;13;ASSIS;35092;ASSIS;350400 Assis;771;311;1;1217;296;1;2063;610;4;3066;1830;18;3445;2101;25;1100;683;2;251;170;0;178;140;1;151;94;1;160;137;2;176;157;5;172;156;0
7;CAMPINAS;17;CAMPINAS;35071;BRAGANÇA;350410 Atibaia;243;152;1;1579;987;5;3436;2622;9;5075;4193;112;3526;2908;32;1018;716;0;309;193;0;134;91;0;114;60;0;153;98;1;106;79;0;127;90;0
2;ARAÇATUBA;11;ARACATUBA;35021;CENTRAL DO DRS II;350420 Auriflama;4;1;0;19;0;0;26;0;2;21;9;0;79;53;2;47;31;2;26;17;0;9;6;0;12;5;1;2;0;0;18;12;1;121;91;1
6;BAURU;15;BAURU;35062;BAURU;350430 Avaí;1;0;0;2;1;0;5;1;0;17;1;0;38;8;1;4;1;0;4;0;0;3;0;0;1;1;0;1;0;0;0;0;0;2;0;0
2;ARAÇATUBA;11;ARACATUBA;35023;CONSÓRCIOS DO DRS II;350440 Avanhandava;3;3;0;1;1;0;22;21;0;17;17;0;41;38;1;23;21;0;28;28;0;14;14;0;0;0;0;1;0;0;0;0;0;3;0;0
6;BAURU;16;BOTUCATU;35061;VALE DO JURUMIRIM;350450 Avaré;131;57;0;468;115;1;927;604;2;2056;1536;1;3050;2673;1;531;464;1;168;95;0;87;28;0;7;5;0;4;3;0;4;3;0;13;7;0
